,mutual_information,random_forest
carry_factor,0.0,0.0006711874150438082
carry_factor_lag1,0.0,0.0
carry_factor_lag10,0.0014922248689757112,0.0005959451899014122
carry_factor_lag2,0.0,0.0005307330250294779
carry_factor_lag20,0.009636652213448116,0.0006759796586929248
carry_factor_lag3,0.009571603680525342,0.0015694112714738973
carry_factor_lag5,0.04350043131064529,0.0006745222468782765
carry_factor_momentum_10,0.0,0.004852783831679242
carry_factor_momentum_20,0.0,0.0009016667530584661
carry_factor_momentum_5,0.012058362862308769,0.0036776298132833746
carry_factor_pow2,0.007775687611454085,0.00022275198477544978
carry_factor_roc_10,0.00977556294440296,0.0004930416085458794
carry_factor_roc_20,0.0,0.0002618724948411186
carry_factor_roc_5,0.014612397293306323,0.000908972498027103
carry_factor_roll_max_10,0.022074597829677245,0.0003652136314076307
carry_factor_roll_max_20,0.0013277436848717628,0.000727357866922003
carry_factor_roll_max_5,0.012045421221471564,9.104920117630482e-06
carry_factor_roll_max_50,0.022050509504372595,0.002693848500169369
carry_factor_roll_mean_10,0.012794940815551215,0.0022543318504427133
carry_factor_roll_mean_20,0.001369705153289047,0.0006198176176779587
carry_factor_roll_mean_5,0.0,0.000593625263701696
carry_factor_roll_mean_50,0.017120686521529205,0.0018812177519459373
carry_factor_roll_min_10,0.0,0.0009847954030287947
carry_factor_roll_min_20,0.005808836071147905,0.0005882345164363841
carry_factor_roll_min_5,0.0,0.00010714831979529732
carry_factor_roll_min_50,0.026200460604680398,0.0005696654500099753
carry_factor_roll_skew_10,0.01975527128243737,0.0037742758722179013
carry_factor_roll_skew_20,0.0042209153760288665,0.0014298405852362836
carry_factor_roll_skew_5,0.007126414931654779,0.0011209612739596733
carry_factor_roll_skew_50,0.0,0.001084162042241999
carry_factor_roll_std_10,0.06511093155905101,0.0016535018171219523
carry_factor_roll_std_20,0.0015378038502307234,0.0008106780609365114
carry_factor_roll_std_5,0.0,0.0026030541974997826
carry_factor_roll_std_50,0.052437016518029456,0.003192686698628936
carry_factor_rsi,0.00859744506165061,0.0008152501280578307
liquidity_factor,0.0,0.0005161865013366912
liquidity_factor_cos,0.0,0.00011086869592453356
liquidity_factor_lag1,0.012304951150616361,0.0014521584617901828
liquidity_factor_lag10,0.0,0.0005350829610627293
liquidity_factor_lag2,0.0,0.003152214296216349
liquidity_factor_lag20,0.0,0.0012835686664620111
liquidity_factor_lag3,0.00028521566600403503,0.003410455418175519
liquidity_factor_lag5,0.032012444444736055,0.0023251971289479268
liquidity_factor_momentum_10,0.014644930656767308,0.0027813437857465866
liquidity_factor_momentum_20,0.021077473918479583,0.0018740278081381052
liquidity_factor_momentum_5,0.0003991021756277746,0.0006045134410474394
liquidity_factor_pow2,0.016046231398218147,0.0018007497170858503
liquidity_factor_roc_10,0.01517284575090283,0.002944835118390165
liquidity_factor_roc_20,0.0,0.0010625674849460962
liquidity_factor_roc_5,0.0,0.0014237281284280193
liquidity_factor_roll_max_10,0.0,0.0005220382551458478
liquidity_factor_roll_max_20,2.424658565125526e-05,0.001621785442230948
liquidity_factor_roll_max_5,0.0,0.003809340804409187
liquidity_factor_roll_max_50,0.019026668532512225,0.001097066807657913
liquidity_factor_roll_mean_10,0.004750122089349773,0.002039017103924807
liquidity_factor_roll_mean_20,0.021570949295849573,0.0005925139563348707
liquidity_factor_roll_mean_5,0.021480347271062072,0.001206523008049422
liquidity_factor_roll_mean_50,0.030110805284924602,0.0025648844268440305
